tagID,tagText,tagType
942,brothersosborne,mention
943,MarenMorris,mention
944,RyanHurd,mention
945,schoolsmuse,mention
946,kpallll,mention
947,Coach_Ramirez96,mention
948,AdamDubbin,mention
949,cmartini15,mention
950,blazogtl20,mention
951,ohheyyyashleyyy,mention
952,DakGil17,mention
953,calientecarlito,mention
954,TylerDalkert,mention
955,ClintonChanges,mention
956,SAM2BSC,mention
957,mrmiller1972,mention
958,riotgrrrl1989,mention
959,gabriellegrauss,mention
960,auddddrina,mention
961,mr_danville,mention
962,DynamiteReferee,mention
963,DodaLu,mention
964,aoaathletics,mention
965,DetroitPAL,mention
966,Smitty238,mention
967,SteveBohnenkamp,mention
968,RickGosselin9,mention
969,Misboo,mention
970,MojoInTheMorn,mention
971,David_Sivak_,mention
972,CoachFoos,mention
973,jordy_mercer,mention
974,blessyouboys,mention
975,MSU_Basketball,mention
976,GoGreen,hashtag
977,ImBarrowedTime,mention
978,detroitnews,mention
979,CPY87,mention
980,BenChi_09,mention
981,USAMichaelMAGA,mention
982,MotorCityLink,mention
983,grantwest2017,mention
984,AdaminMI,mention
985,MurchInAlpena,mention
986,rvisconti,mention
987,WoyBoy18,mention
988,J_Michaels25,mention
989,BulletToothMac,mention
990,TomTV23,mention
991,patabbo623,mention
992,TheTicketMI,mention
993,ThatDanHasty,mention
994,MittenBrewingCo,mention
995,ImNotYourFave,mention
996,LappanII,mention
997,I4mGroot,mention
998,Fosterbas19,mention
999,MrFatherBod,mention
1000,paulswaj,mention
1001,cisow77,mention
1002,ChristianWinn,mention
1003,wheresthemitten,mention
1004,kmwbooksit,mention
1005,DavidWillett16,mention
1006,annjellikuh,mention
1007,Andy_Doods,mention
1008,asfreeman,mention
1009,EdSoundhead,mention
1010,mb4lluke3,mention
1011,jhaglerjr,mention
1012,albino_ab,mention
1013,Reds,mention
1014,BlueJays,mention
1015,oEJ3x,mention
1016,rcponto,mention
1017,michealjwebster,mention
1018,motoron,hashtag
1019,madison_greiner,mention
1020,jocimcmichael13,mention
1021,alex_everett15,mention
1022,JohnThompson_90,mention
1023,AndrewW111,mention
1024,ChevyWright2,mention
1025,sondraaz,mention
1026,jill_jdbritton,mention
1027,alittlelyzdexic,mention
1028,natedog_906,mention
1029,RockyCasbahTXRD,mention
1030,khiggins44,mention
1031,michiganstateu,mention
1032,BobSeger,mention
1033,nna_ylime,mention
1034,mtang68,mention
1035,Royals,mention
1036,amyadamchick,mention
1037,JenCarllTong,mention
1038,LoveYourMelon,mention
1039,suzannehollist1,mention
1040,CampbellWebb_Ed,mention
1041,JAMClifford18,mention
1042,NamfarbWehttam,mention
1043,Fick_Andrew97,mention
1044,almaaaa19,mention
1045,markog45,mention
1046,flip1360,mention
1047,GMKomatz,mention
1048,JayneRidgway,mention
1049,cgalatis,mention
1050,Sellboneous98,mention
1051,drewsell00,mention
1052,heyybrittni,mention
1053,ffmrc,mention
1054,OpeningDayDET,hashtag
1055,InsideOutDET,mention
1056,WingsWoody,mention
1057,LoyalFans,hashtag
1058,Mike2797,mention
1059,Athletics,mention
1060,ettablue33,mention
1061,notthefakejdw,mention
1062,kevee_D,mention
1063,runderrickbean,mention
1064,Mwink1975,mention
1065,DebiJune2,mention
1066,ColangeloTigers,mention
1067,jodi_harrison,mention
1068,ellenk124,mention
1069,SevenOut_LOL,mention
1070,BSpicerUofL,mention
1071,Brittinyy,mention
1072,ArianaGrande,mention
1073,BobCNatra,mention
1074,MarthamyrtleMar,mention
1075,davidsaidthis,mention
1076,jcyankeefan,mention
1077,nealrubin_dn,mention
1078,JulesLilthum,mention
1079,colin33448,mention
1080,dalanamarie,mention
1081,JenSlabaugh,mention
1082,LeslieHeindel,mention
1083,kylehayes_,mention
1084,Chip1047,mention
1085,Braves,mention
